Sailfish	Salmon	STAR-HTSeq
AT2G30766             0.837189             0.109475             -1.130188
AT2G32650             1.845113             1.868546             0.440667
AT2G35860             1.164037             1.167150             0.048923
AT2G36220             1.529918             1.547887             0.581996
AT2G40850             -0.080045             -1.424535             -0.000043
AT2G42865             1.529294             0.648268             1.797722
AT2G45530             1.226912             1.241941             -0.193079
AT2G46970             1.361423             -0.597919             -0.640261
AT2G47880             1.499662             1.516955             -0.342284
AT2G47930             1.917838             1.934525             1.000528
AT3G01200             1.533013             1.543730             0.474321
AT3G04700             0.455245             0.500726             -0.606188
AT3G05930             0.648294             -0.911095             -0.827239
AT3G06868             0.773907             0.774134             -0.475581
AT3G08520             3.294999             2.498690             3.457016
AT3G11110             0.964335             0.025119             1.068438
AT3G13276             0.782407             -0.026445             1.189196
AT3G14630             -0.340840             -1.224033             -0.238418
AT3G16380             -0.838911             -0.184269             -1.215882
AT3G19020             0.210942             -1.533889             0.333335
AT3G22210             1.801046             1.636465             0.388653
AT3G22570             0.916730             0.869975             -0.575520
AT3G24020             1.547394             1.508771             0.045289
AT3G25820             0.722488             0.944594             -1.373075
AT3G26430             1.151563             1.177737             -0.738468
AT3G27025             -0.203632             -1.124829             -0.041983
AT3G28150             0.576861             -0.586472             0.679430
AT3G28770             -0.620711             -1.530590             -0.573948
AT3G41762             0.590325             -1.011396             0.327197
AT3G45060             -0.125580             -1.281831             -0.023373
AT3G46230             0.731805             0.752524             -0.229737
AT3G47295             2.065247             2.080916             0.997864
AT3G51490             -0.418579             -1.347000             -0.223385
AT3G52105             1.723254             1.767588             0.345466
AT3G52526             1.692953             1.130798             0.478756
AT3G54085             1.617514             1.707118             -0.183551
AT3G55200             0.758358             0.762488             -0.302283
AT3G55220             0.824119             0.839141             -0.164892
AT3G56910             2.704579             2.722001             1.781476
AT3G57785             1.859880             1.893678             0.833092
AT3G59400             1.853386             1.862441             -0.528792
AT3G62090             0.562956             0.450363             -0.828806
AT3G62540             0.537081             0.579990             -1.234287
AT3G63052             0.699023             0.716117             -0.264559
AT4G00880             0.996780             1.032814             -0.511631
AT4G02200             1.087919             0.971926             -0.061394
AT4G02520             3.058084             3.082080             1.302719
AT4G02970             1.381759             -0.838207             1.875535
AT4G03140             1.082401             0.749169             -0.699305
AT4G03490             0.296900             0.564067             -0.452587
AT4G03940             0.977128             -0.335277             0.814559
AT4G04972             0.618943             0.623942             -0.388132
AT4G10640             -0.385093             0.132183             -0.826642
AT4G12510             1.457936             1.476741             0.154195
AT4G12545             1.223291             1.239454             -0.027347
AT4G12550             1.409536             1.433310             0.187427
AT4G13880             0.084387             -1.113368             0.065624
AT4G13885             -0.241767             -0.823206             0.106337
AT4G15150             1.095591             -0.506786             1.205756
AT4G16410             2.085098             2.125873             0.258562
AT4G16670             1.098489             0.562533             -0.817272
AT4G17100             1.539227             1.536155             0.477604
AT4G18220             0.553666             0.638601             -0.399317
AT4G20690             1.681148             1.340481             0.172958
AT4G22470             1.333987             1.384343             -0.412088
AT4G22485             1.081704             1.331885             -1.214172
AT4G24910             0.166451             -0.678872             0.227774
AT4G26288             1.661717             1.763262             -0.204589
AT4G26790             0.642109             -0.030128             -0.549283
AT4G30660             2.377912             2.392013             0.994001
AT4G32208             1.214648             0.567873             -0.373097
AT4G32210             2.083019             2.103873             1.099314
AT4G33467             0.715948             0.736708             -0.640419
AT4G33666             1.789789             1.806622             -0.426604
AT4G34881             2.394129             2.412719             1.000757
AT4G35295             0.672740             -0.224246             0.938966
AT4G36791             0.356536             0.227786             1.131204
AT4G37410             1.672442             1.687118             0.383073
AT4G38210             0.989769             0.949648             -0.338158
AT4G38540             1.765151             1.725436             0.385765
AT5G07610             0.703566             -1.075685             0.785503
AT5G10100             1.169808             0.072432             0.203469
AT5G10430             1.890954             1.902032             0.224173
AT5G11970             1.323126             1.583932             -0.011029
AT5G14510             0.737411             0.770110             -0.709215
AT5G16230             0.774388             0.765921             -0.192608
AT5G16770             0.014231             0.106939             -1.132727
AT5G18260             1.381370             0.811684             0.059039
AT5G18470             1.169060             1.155216             -0.239204
AT5G21910             0.584748             -0.520739             -0.312548
AT5G24215             0.816231             -0.315402             1.067535
AT5G27400             1.523167             1.540312             0.147051
AT5G27660             1.178732             1.176069             0.270608
AT5G28380             0.052417             -1.037465             -0.477144
AT5G28460             0.605326             0.604072             -1.358050
AT5G35926             0.475648             -1.289849             0.071252
AT5G36740             -0.281905             -0.262303             -1.560762
AT5G36790             1.512975             1.669108             -0.129916
AT5G37247             0.331415             -0.351009             0.651826
AT5G41610             0.586485             0.313220             -1.096172
AT5G41685             1.962730             1.983312             1.003174
AT5G42090             1.621610             1.636794             0.252262
AT5G42760             0.248682             -0.772617             0.185489
AT5G42820             1.850752             1.862294             0.243388
AT5G49440             2.045433             0.167260             2.142536
AT5G50530             0.954495             0.951598             -1.241247
AT5G52100             1.456328             1.470587             0.527550
AT5G52170             0.082276             1.142702             -0.526474
AT5G53810             0.072165             -1.186646             0.174745
AT5G54570             0.491279             -0.619979             -1.014147
AT5G55450             1.681252             1.684324             -0.796296
AT5G55490             -0.146629             -0.994983             0.108540
AT5G57760             1.507063             1.512358             0.087350
AT5G57887             2.206270             2.222649             0.629723
AT5G58570             1.667797             1.678969             0.669246
AT5G60630             0.510178             0.526783             -0.710781
AT5G61900             0.977972             0.989341             -1.238012
AT5G64570             2.197735             2.208969             1.291104
AT5G64816             1.281847             1.292667             -0.028492
AT5G67490             2.221187             2.232849             -0.744580
ATCG00050             1.224427             0.382417             1.597601
ATCG00640             2.248201             1.036054             3.608325
ATCG00840             2.268388             2.474147             0.416245
ATCG00860             0.255721             0.485505             -1.313748
ATCG00900             2.812383             3.074670             1.184325
ATCG00905             3.515545             3.487427             1.896910
ATCG01310             2.722390             2.987977             0.468168
ATMG00030             3.011071             0.108042             3.155394
ATMG00280             -0.220637             0.020880             0.810279
ATMG00520             0.491647             0.470068             -0.924749
ATMG00580             0.755836             0.704634             -1.075959
ATMG00830             0.882572             0.765715             -0.466309
ATMG01080             0.595602             0.392507             -0.450007
ATMG01190             1.423827             1.333226             -0.485863
ATMG01200             0.909777             0.562684             -0.103061
